id,text,source,customer_tier,nps_score,cluster,tier_weight
1,Add dark mode,Email,Enterprise,7,2,3
2,Please give us a dark theme,Canny,Enterprise,9,2,3
3,Dark mode would help late night work,Gong Call,SMB,4,2,2
4,Dark theme is a must,Email,Free,7,2,1
5,Why is there still no dark mode?,Gong Call,Enterprise,9,2,3
6,Dark UI option please,Gong Call,SMB,5,2,2
7,Working in dark mode is easier on eyes,Zendesk,Free,3,2,1
8,Mobile app crashes often,Gong Call,Enterprise,4,3,3
9,App freezes on Android,Canny,Enterprise,6,3,3
10,iPhone version has glitches,Gong Call,Enterprise,7,3,3
11,Touch response is slow on mobile,Canny,Free,3,3,1
12,Can't scroll properly on small screens,Intercom,Free,7,-1,1
13,Navigation broken on mobile,Support Ticket,Free,10,-1,1
14,App doesn't load on mobile data,Support Ticket,Enterprise,4,3,3
15,Permissions are too complicated,Support Ticket,SMB,5,1,2
16,Can't manage user roles easily,Zendesk,SMB,7,1,2
17,Need simpler project permissions,Intercom,SMB,6,1,2
18,Access levels are unclear,Canny,Enterprise,4,1,3
19,Make admin controls more intuitive,Support Ticket,SMB,10,-1,2
20,User roles keep resetting,Gong Call,Free,4,1,1
21,Confused about team access,Zendesk,Free,4,1,1
22,Need Slack integration,Gong Call,SMB,9,0,2
23,Support for Jira please,Intercom,Enterprise,7,-1,3
24,Want Microsoft Teams support,Gong Call,Free,9,1,1
25,Connect with Google Calendar,Email,SMB,3,-1,2
26,Auto-sync with Salesforce,Email,Enterprise,4,-1,3
27,Zapier integration would help,Canny,SMB,7,0,2
28,Integrate with Trello,Zendesk,SMB,4,0,2
29,App is too slow,Zendesk,SMB,10,3,2
30,Takes forever to load dashboard,Gong Call,SMB,3,3,2
31,Performance is laggy,Gong Call,Enterprise,7,3,3
32,Speed has declined recently,Intercom,Enterprise,8,3,3
33,Feels heavy on startup,Email,Enterprise,3,-1,3
34,Long wait when switching tabs,Zendesk,SMB,5,-1,2
35,Loading spinner stays forever,Zendesk,SMB,4,-1,2
36,Love the new design!,Canny,Enterprise,5,3,3
37,UI is much cleaner now,Intercom,Enterprise,10,3,3
38,Great job on the new dashboard,Intercom,Enterprise,8,3,3
39,Visuals are super crisp,Email,Enterprise,4,-1,3
40,The layout is more intuitive now,Canny,Enterprise,5,3,3
41,Typography looks modern,Canny,Free,5,-1,1
42,Animations feel smoother,Gong Call,SMB,4,-1,2
43,Let me duplicate tasks,Support Ticket,SMB,4,0,2
44,Need bulk edit for tasks,Support Ticket,SMB,9,0,2
45,Support sub-tasks,Intercom,SMB,7,0,2
46,Recurring tasks please,Support Ticket,Free,9,0,1
47,Drag and drop should be easier,Gong Call,SMB,9,-1,2
48,Need color coding on tasks,Canny,SMB,3,0,2
49,Filter tasks by assignee,Gong Call,Enterprise,5,0,3
50,Too many notifications,Zendesk,Free,9,-1,1
51,Let me mute channels,Intercom,Free,8,-1,1
52,Notification settings are missing,Intercom,Enterprise,7,-1,3
53,Spammy alerts,Gong Call,Free,10,-1,1
54,Need digest email option,Support Ticket,Enterprise,9,-1,3
55,Noisy when on multiple projects,Support Ticket,SMB,7,-1,2
56,Control alert preferences please,Zendesk,Free,4,-1,1
